iter	Logloss
0	0.6781027466
1	0.6666144307
2	0.6556843948
3	0.6437114913
4	0.632946763
5	0.6225991816
6	0.6135966925
7	0.6063584356
8	0.5997054072
9	0.5917606468
10	0.584484159
11	0.5774729251
12	0.5707000158
13	0.5652452789
14	0.5599583457
15	0.5557578334
16	0.5515439068
17	0.5466045481
18	0.5421306496
19	0.5384881515
20	0.5339967545
21	0.5308857557
22	0.5270613019
23	0.5234488279
24	0.5193101652
25	0.5157946959
26	0.5133569978
27	0.5105471601
28	0.5069985813
29	0.5039048631
30	0.5007464877
31	0.497703054
32	0.494737912
33	0.4922952338
34	0.4900299192
35	0.4879740549
36	0.4855283704
37	0.4831857654
38	0.4813875303
39	0.479029942
40	0.4764004047
41	0.4746489233
42	0.4732177854
43	0.4711610707
44	0.4694175325
45	0.4669308457
46	0.4654472986
47	0.4638438059
48	0.4623945754
49	0.4608825588
50	0.4591895279
51	0.4576187014
52	0.4556426427
53	0.4544310781
54	0.452943866
55	0.4513995903
56	0.4491717639
57	0.4474647773
58	0.4458885109
59	0.4448772892
60	0.4439045569
61	0.4424121491
62	0.4410095862
63	0.4401160751
64	0.4386795643
65	0.4373904649
66	0.436666003
67	0.4359210052
68	0.4344067967
69	0.4330806762
70	0.4320359498
71	0.4309646559
72	0.4298913402
73	0.4290463961
74	0.4280933662
75	0.4275025708
76	0.4263891894
77	0.4251537018
78	0.4242307055
79	0.4234212112
80	0.4225368554
81	0.4218749425
82	0.4211703218
83	0.4204295902
84	0.4195682088
85	0.4183230965
86	0.4175722395
87	0.4162341467
88	0.4157686458
89	0.414759968
90	0.4140271389
91	0.4133237183
92	0.4119666658
93	0.4113741241
94	0.4108484074
95	0.4096212534
96	0.4087118846
97	0.408199769
98	0.4076012053
99	0.4066547627
100	0.4057200745
101	0.4050695063
102	0.4044540357
103	0.4028925969
104	0.4006192936
105	0.3997856799
106	0.3990690654
107	0.3983574453
108	0.3978855918
109	0.3973794383
110	0.3968742766
111	0.3956396585
112	0.3949703989
113	0.3944305707
114	0.3936173324
115	0.3929888332
116	0.3927677652
117	0.3923531405
118	0.3919906257
119	0.3917367549
120	0.3911944858
121	0.3907599457
122	0.3894485881
123	0.3880497021
124	0.3871068742
125	0.3856492382
126	0.3850827731
127	0.3843718309
128	0.3840108611
129	0.3836116869
130	0.3829035042
131	0.3825562553
132	0.3813839084
133	0.3809723356
134	0.3797647617
135	0.378964837
136	0.3787617035
137	0.3785464731
138	0.3778503418
139	0.3771806654
140	0.3767295801
141	0.376353766
142	0.3759376298
143	0.3754938626
144	0.3748777357
145	0.3744528083
146	0.3735209994
147	0.3729295692
148	0.3725086805
149	0.3719458132
150	0.3717053184
151	0.3713140682
152	0.3707815868
153	0.3706184519
154	0.3699497097
155	0.3687070215
156	0.3676104966
157	0.3669704371
158	0.3660674378
159	0.3656197301
160	0.3654276107
161	0.3651032883
162	0.3642694255
163	0.3633666321
164	0.3621898921
165	0.3611678718
166	0.361010105
167	0.3607355522
168	0.3602232378
169	0.3600479318
170	0.3598371401
171	0.3577063927
172	0.3573476172
173	0.357175612
174	0.3568465492
175	0.356196805
176	0.3558904795
177	0.3547501545
178	0.353880964
179	0.3533141707
180	0.352392038
181	0.3521323643
182	0.3514958392
183	0.3513825421
184	0.3505989206
185	0.350444723
186	0.3499055871
187	0.3496726978
188	0.3487600018
189	0.348322556
190	0.3481087653
191	0.3472031957
192	0.3463511241
193	0.3452042572
194	0.3447262499
195	0.3444896057
196	0.3442482558
197	0.3436246096
198	0.3431348672
199	0.3427923469
200	0.3423327891
201	0.3420969665
202	0.341900915
203	0.3412686502
204	0.3407843993
205	0.3406456149
206	0.3404358653
207	0.3392046199
208	0.3389317439
209	0.3384667569
210	0.3382690813
211	0.3380818916
212	0.337934091
213	0.3359686859
214	0.3354422325
215	0.3352504808
216	0.3345286395
217	0.3344117816
218	0.3342972269
219	0.3340640932
220	0.3338516595
221	0.3336753905
222	0.3335019961
223	0.3331594003
224	0.3324944836
225	0.332080659
226	0.3319262746
227	0.331413208
228	0.331132687
229	0.3305300786
230	0.3286014371
231	0.3285035557
232	0.327700959
233	0.3275075664
234	0.326409033
235	0.3260000687
236	0.3258844397
237	0.3256316899
238	0.3253852401
239	0.3252549787
240	0.3245726341
241	0.3241266463
242	0.3238995898
243	0.3237193337
244	0.3235117243
245	0.3233670592
246	0.3221387531
247	0.3214464508
248	0.3209853288
249	0.3207691103
250	0.3206431594
251	0.3202260878
252	0.3201272075
253	0.3199317261
254	0.3198106966
255	0.319647533
256	0.3194714497
257	0.3192412312
258	0.3190254774
259	0.318812603
260	0.3187345616
261	0.3177892748
262	0.3177032267
263	0.3169278706
264	0.3167683229
265	0.3166298499
266	0.3165029816
267	0.316256242
268	0.3155913636
269	0.3150670026
270	0.3149816899
271	0.3144126677
272	0.3143083066
273	0.3138299927
274	0.3137051006
275	0.3135921508
276	0.3131217094
277	0.3129836258
278	0.3129049065
279	0.3128172475
280	0.3124996599
281	0.3124100905
282	0.3119704985
283	0.3112728352
284	0.3108871843
285	0.3107677765
286	0.3103960477
287	0.3101717914
288	0.310085014
289	0.3091621686
290	0.3083172318
291	0.3082601311
292	0.3080032648
293	0.3078874609
294	0.3077825897
295	0.3074380596
296	0.3071819323
297	0.3070232002
298	0.3067143942
299	0.3064569949
